4537,CrossFit Worksop,63 Retford Road,Worksop,Nottinghamshire,S80 2QD,United Kingdom,FALSE,7532080095,http://www.crossfitworksop.com/,53.3025,-1.1032
4561,Border City CrossFit,Unit 3 Lorne Crescent,Carllisle,Cumbria,CA2 5XW,United Kingdom,FALSE,408000000000,http://bordercitycrossfit.com/,54.8897,-2.9412
4562,CrossFit Milton Keynes,Howard Way,Milton Keynes,Buckinghamshire,MK 16 9PY,United Kingdom,FALSE,07743 720034,http://www.crossfitmiltonkeynes.com/,52.0797,-0.7031
4568,CrossFit Tunbridge Wells,11A Chapman Way,Tunbridge Wells,Kent,TN2 3EF,United Kingdom,FALSE,0044 7836211800,http://crossfittunbridgewells.com/,51.1527,0.2771
4654,CrossFit Performance 360,Unit 2C Victory Place,Crystal Palace,London,SE19 3RW,United Kingdom,TRUE,448000000000,http://www.p360uk.com/services/crossfit/,51.4182,-0.0821
5031,CrossFit Stags & Does,121 Norman Industrial Estate,Milton,Cambridgeshire,CB24 6AT,United Kingdom,TRUE,448000000000,http://www.crossfitstagsanddoes.co.uk/,52.238,0.1579
5178,CrossFit North London,44 Tottenham Lane,Hornsey,London,N8 7EA,United Kingdom,FALSE,7739743952,http://www.crossfitnorthlondon.co.uk,51.5864,-0.1124
5337,CrossFit Loughborough,16 Hanford Way,Loughborough,Leicestershire,LE11 1SL,United Kingdom,FALSE,0044 (0)7584 352 208,False,52.7773,-1.2007
5484,CrossFit Vauxhall,15-16 Miles Street,London,London,SW8 1RZ,United Kingdom,FALSE,0207 261 9479,http://www.crossfitvauxhall.co.uk,51.4831,-0.1261
5776,CrossFit Resplendent,18a Crawfordsburn Rd,Newtownards,County Down,BT23 4EA,United Kingdom,FALSE,7966829171,http://crossfitresplendent.com/,54.5983,-5.7031
5824,WGA CrossFit,38 Dens Road,Arbroath,Angus,DD111RU,United Kingdom,FALSE,7758784035,http://www.warehousegym.co.uk/wga-crossfit.html,56.5666,-2.5886
5836,CrossFit Aberystwyth,8 Chalybeate Street,Aberystwyth,Wales,SY23 1HS,United Kingdom,FALSE,7817767714,http://www.crossfitaberystwyth.co.uk/index.php,52.4147,-4.0833
5839,The Only Way Is CrossFit,1-2 Bairny Wood Approach,Woodford,London,IG8 0HH,United Kingdom,FALSE,7961052371,http://www.theonlywayiscrossfit.com/,51.608,0.0327
5917,Wakefield CrossFit,Thornes Road,Wakefield,West Yorkshire,WF2 8PL,United Kingdom,FALSE,7850039672,False,53.6707,-1.5151
6009,CrossFit Perpetua,Unit 74 Queens Circus,Battersea,London,SW8 4NE,United Kingdom,FALSE,442000000000,False,51.4778,-0.1481
6131,Omnipotent CrossFit,15 Osborne Street,Glasgow,Glasgow,G1 5QN,United Kingdom,FALSE,7877279600,http://omnipotentcrossfit.co.uk/,55.8559,-4.2461
6293,CrossFit Coventry,Bedworth Road,Coventry,Warwickshire,CV12 9JA,United Kingdom,FALSE,448000000000,http://crossfitcoventry.co.uk/,52.4781,-1.4409
6341,CrossFit Braintree,115 The Innovation Centre,Braintree,Essex,CM7 3AN,United Kingdom,TRUE,7970395424,http://www.crossfitbraintree.com,51.8755,0.5652
6345,CrossFit Hackney,Arch 328 Stean Street,Hackney,England,E8 4Ed,United Kingdom,FALSE,448000000000,http://www.momentum-training.com/crossfit-hackney/,51.5381,-0.0752
